,top_screens
0,Loan2
1,location
2,Institutions
3,Credit3Container
4,VerifyPhone
5,BankVerification
6,VerifyDateOfBirth
7,ProfilePage
8,VerifyCountry
9,Cycle
10,idscreen
11,Credit3Dashboard
12,Loan3
13,CC1Category
14,Splash
15,Loan
16,CC1
17,RewardsContainer
18,Credit3
19,Credit1
20,EditProfile
21,Credit2
22,Finances
23,CC3
24,Saving9
25,Saving1
26,Alerts
27,Saving8
28,Saving10
29,Leaderboard
30,Saving4
31,VerifyMobile
32,VerifyHousing
33,RewardDetail
34,VerifyHousingAmount
35,ProfileMaritalStatus
36,ProfileChildren 
37,ProfileEducation
38,Saving7
39,ProfileEducationMajor
40,Rewards
41,AccountView
42,VerifyAnnualIncome
43,VerifyIncomeType
44,Saving2
45,Saving6
46,Saving2Amount
47,Saving5
48,ProfileJobTitle
49,Login
50,ProfileEmploymentLength
51,WebView
52,SecurityModal
53,Loan4
54,ResendToken
55,TransactionList
56,NetworkFailure
57,ListPicker
